medium	associatedURL	boxHeightInInches	boxLengthInInches	boxWeightInPounds	boxWidthInInches	scannednumber	upc	asin	country	title	fullTitle	series	numberInSeries	edition	aspect	mediacount	genre	price	currentValue	language	netrating	description	owner	publisher	published	rare	purchaseDate	rating	used	signed	hasExperienced	notes	location	paid	condition	notowned	author	illustrator	pages
book							9780801970672	0801970679	us	The Design and Creation of Jewelry (Jewelry Crafts)	The Design and Creation of Jewelry (Jewelry Crafts)				Paperback		Jewelry	$19.95	$7.95		4.5			kp books	1982-02-11 12:00:00 +0000		2007-02-11 00:30:32 -0500										Robert Von Neumann		321
book							9780262010498	0262010496	us	Despite Straight Lines	Despite Straight Lines				Hardcover		Printmaking	$12.00	$29.00					The MIT Press	1977-02-12 12:00:00 +0000		2007-02-11 01:21:57 -0500										Josef Albers		112
book								B000M4XMJK	us	The Diamond Age 	The Diamond Age Collectors Edition				paperback				$4			Masterpiece of Scient Fiction; gound in geniune leatrh,collector's notes by author		Easton Press	13-01-1995		13-01-2007										Neal Stephenson		455
book							9780671520991	0671520997	us	The DIARY OF JACK THE RIPPER: THE DIARY OF JACK THE RIPPER	The DIARY OF JACK THE RIPPER: THE DIARY OF JACK THE RIPPER				Paperback		Criminology/ Murder & Mayhem/ True Crime/ London	$6.99	$0.01		3.5			Pocket	01-10-1995		19-01-2007										Shirley Harrison		352
book								B000I8EP14	us	Dictionary of Abstract Painting	Dictionary of Abstract Painting				Hardcover									Paris Book Center, 1957	05-02-1957		05-02-2007										Michel Seuphor		
book								B000KD9KIA	us	Dictionary of Marks: Pottery and Porcelain,	Dictionary of Marks: Pottery and Porcelain,				Hardcover				$10.00					Crown Publishers, Inc.	1977-02-11 12:00:00 -0500		2007-02-11 01:53:06 -0500										Ralph M.; Kovel, Terry H. Kovel		
book								B000KTPL5A	us	Dictionary of Modern Painting	Dictionary of Modern Painting				Hardcover				$17.48					Paris Book Center	05-02-1956		05-02-2007										Fernand Hazan		
book							9780553294613	055329461X	us	The Difference Engine	The Difference Engine (Spectra Special Editions)			Spectra Special	Mass Market Paperback		Residential/ Landscape/ Design & Construction/ United States/ Fantasy/ Agricultural Sciences/ Paperback	$7.99	$0.01		3	A collaborative novel from the premier cyberpunk authors, William Gibson and Bruce Sterling. Part detective story, part historical thriller, The Difference Engine takes us not forward but back, to an imagined 1885: the Industrial Revolution is in full and inexorable swing, powered by steam-driven, cybernetic engines. Charles Babbage perfects his Analytical Engine, and the computer age arrives a century ahead of its time.		Spectra	01-01-1992		13-01-2007										William Gibson		448
book							9780810932371	0810932377	us	Discovery of Dragons	Discovery of Dragons				Hardcover		Science Fiction, Fantasy, & Magic/ Folklore/ Reference & Tips/ Dragons	$18.95	$9.39		4.5			Harry N. Abrams	01-09-1996		19-01-2007										Graeme Base		32
book							9781562825010	1562825011	us	Disney's the Villian's Collection	Disney's the Villian's Collection				Library Binding		Anthologies	$15.49	$2.90					Disney Pr (Lib)	10-01-1993		18-01-2007										Todd Strasser/ Mark Rifkin		76
book							9781564584984	1564584984	us	DK Handbooks: Gemstones	DK Handbooks: Gemstones				Paperback		Reference/ Prospecting & Mining/ Rocks & Minerals/ Geology/ Gems	$18.95	$1.99		5	Over 130 gemstones are depicted with description, occurrence, composition, crystal structure, luster, and other details.		Dorling Kindersley Publishing	1994-02-03 12:00:00 +0000		2007-02-11 00:26:13 -0500										Cally Hall		160
book							0050694028019	037582880X	us	Doctor Dan, the Bandage Man (Little Golden Book)	Doctor Dan, the Bandage Man (Little Golden Book)				Hardcover		State & Local/ Fiction/ Personal Hygiene	$2.99	$1.07		4.5	ONE OF THE most-requested Little Golden Books is back in print&#x2014;complete with Band-Aid&#x00ae; bandages! Millions of baby boomers remember little Dan, who stops crying over a scratch as soon as Mother puts a Band-Aid&#x00ae; on it. Soon the dolls and teddy bears in Dan&#x2019;s house are wearing Band-Aids&#x00ae;, too. This charming story from the 1950s was so popular that it&#x2019;s now featured in the Smithsonian&#x2019;s permanent collection.		Golden Books	14-09-2004		18-01-2007										Helen Gaspard/ Corinne Malvern (illustrator)		28
book							9780871351661	0871351668	us	Dr Strange Shamballa	Dr Strange Shamballa				Paperback				$6.99		5			Marvel Books	01-01-1986		19-01-2007										J M Dematteis		
book							9780843138252	0843138254	us	Dragolin (Serendipity)	Dragolin (Serendipity)				Paperback			$4.99	$0.99		5			Price Stern Sloan	19-04-1995		18-01-2007										Stephen Cosgrove		32
book								0345346297		Dragons of Eden					Paperback		Brain/ Cognitive Psychology/ General/ Genetic psychology/ Intellect/ Life Sciences - Evolution/ Science/ Science//Mathematics/ Science // Environmental Science	$7.50	$3.00		4.43			Ballantine Books	12-12-1986		16-01-2005										CARL SAGAN		
book							9780142800386	0142800384	us	The Drawing of the Three	The Drawing of the Three (The Dark Tower, Book 2)	The Dark Tower	2		Audio CD/ Audiobook/ Unabridged	11	United States/ Contemporary/ Literary/ Epic/ Fantasy/ Religious/ Unabridged	$37.95	$15.50		4.5	Beginning with a short story appearing in The Magazine of Fantasy and Science Fiction in 1978, the publication of Stephen King's epic work of fantasy-what he considers to be a single long novel and his magnum opus-has spanned a quarter of a century. / / Set in a world of extraordinary circumstances, filled with stunning visual imagery and unforgettable characters, The Dark Tower series is King's most visionary feat of storytelling, a magical mix of science fiction, fantasy, and horror that may well be his crowning achievement. In November 2003, the fifth installment, Wolves of the Calla, will be published under the imprint of Donald M. Grant, with distribution and major promotion provided by Scribner. Song of Susannah, Book VI, and The Dark Tower, Book VII, will follow under the same arrangement in 2004. With these last three volumes finally on the horizon, readers-countless King readers who have yet to delve into The Dark Tower and a multitude of new and old fantasy fans-can now look forward to reading the series straight through to its stunning conclusion. Viking's elegant reissue of the first four books ensures that for the first time The Dark Tower will be widely available in hardcover editions for this eager readership.		Penguin Audio	29-07-2003		18-01-2007										Stephen King/ Frank Muller		12
book								B0007DE326	us	The drawings of Domenico Tiepolo	The drawings of Domenico Tiepolo				Unknown Binding				$24.95					Boston Book & Art Shop	1962-02-11 12:00:00 -0500		2007-02-11 00:52:39 -0500										James Byam Shaw		101
book							9780843148893	0843148896	us	The Dream Tree (Serendipity Books)	The Dream Tree (Serendipity Books)				Paperback		Fiction	$4.99	$2.34		5	Patti Caterpillar is curious about what life as a beautiful butterfly is like as she spins her cocoon on the branches of the Dream Tree.		Price Stern Sloan	11-11-2002		18-01-2007										Stephen Cosgrove		32
book							9780446342964	0446342963	us	Dreamer's Dictionary	Dreamer's Dictionary				Mass Market Paperback		Teens/ Psychology & Counseling/ Dreams	$7.99	$1.42		4			Warner Books	11-02-1986		19-01-2007										Stearn Robinson/ Tom Corbett		384
book							9780446693790	0446693790	us	Dude, Where's My Country?	Dude, Where's My Country?				Paperback		Political/ U.S./ Terrorism/ Humor	$14.95	$0.01		3.5	The people of the United States, according to author and filmmaker Michael Moore (Bowling for Columbine, Stupid White Men), have been hoodwinked. Tricked, he says, by Republican lawmakers and their wealthy corporate pals who use a combination of concocted bogeymen and lies to stay rich and in control. But while plenty of liberal scholars, entertainers, and pundits have made similar arguments in book form, Moore's Dude, Where's My Country? stands out for its thoroughly positive perspective. Granted, Moore is angry and has harsh words for George W. Bush and his fellow conservatives concerning the reasoning behind going to war in Iraq, the collapse of Enron and other companies, and the relationship between the Bushes, the Saudi Arabian government, and Osama bin Laden. But his book is intended to serve as a handbook for how people with liberal opinions (which is most of America, Moore contends, whether they call themselves "liberals" or not) can take back their country from the conservative forces in power. Moore uses his trademark brand of confrontational, exasperated humor skillfully as he offers a primer on how to change the worldview of one's annoying conservative blowhard brother-in-law, and he crafts a surprisingly thorough "Draft Oprah for President" movement. Refreshingly, Dude, Where's My Country? avoids being completely one-sided, offering up areas where Moore believes Republicans get it right as well as some cutting criticisms of his fellow lefties. Such allowances, brief though they may be, make one long for a political climate where the shouting polemicists on both sides would see a few more shades of gray. Dude, Where's My Country? is a little bit scattered, as Moore tries to cram opinions on Iraq, tax cuts, corporate welfare, Wesley Clark, and the Patriot Act into one slim volume--and the penchant to go for a laugh sometimes gets in the way of clear arguments. But such variety also gives the reader more Moore, providing a broader range of his bewildered, enraged, yet stalwartly upbeat point of view. --John Moe		Warner Books	01-08-2004		17-01-2007										Michael Moore		272
book							9780441172719	0441172717	us	Dune	Dune (Dune Chronicles, Book 1)	Dune Chronicles	1		Paperback		Movie Tie-Ins/ United States/ Classics/ Contemporary/ Epic/ Adventure/ Paperback	$7.99	$0.80		4.5	This Hugo and Nebula Award winner tells the sweeping tale of a desert planet called Arrakis, the focus of an intricate power struggle in a byzantine interstellar empire. Arrakis is the sole source of Melange, the "spice of spices." Melange is necessary for interstellar travel and grants psychic powers and longevity, so whoever controls it wields great influence./ The troubles begin when stewardship of Arrakis is transferred by the Emperor from the Harkonnen Noble House to House Atreides. The Harkonnens don't want to give up their privilege, though, and through sabotage and treachery they cast young Duke Paul Atreides out into the planet's harsh environment to die. There he falls in with the Fremen, a tribe of desert dwellers who become the basis of the army with which he will reclaim what's rightfully his. Paul Atreides, though, is far more than just a usurped duke. He might be the end product of a very long-term genetic experiment designed to breed a super human; he might be a messiah. His struggle is at the center of a nexus of powerful people and events, and the repercussions will be felt throughout the Imperium./ Dune is one of the most famous science fiction novels ever written, and deservedly so. The setting is elaborate and ornate, the plot labyrinthine, the adventures exciting. Five sequels follow. --Brooks Peck/ 		Ace	01-09-1990		17-01-2007										Frank Herbert		544
book							9780394724591	0394724593	us	Dungeon of Darkness, No. 5	Dungeon of Darkness, No. 5				Paperback			$1.95	$0.01					Random House Inc (P)	02-01-1984		18-01-2007										John Kendall		
book								B000H2ECUA	us	Earthlight	Earthlight				Mass Market Paperback				$1.75					Ballantine Books	16-01-1955		16-01-2007										Arthur C. Clarke		
book								B000JMFMBG	us	Eastman and Laird's Teenage Mutant Ninja Turtles	Eastman and Laird's Teenage Mutant Ninja Turtles (The Collected Book, Volume One)	The Collected Book	1		Paperback				$124.95					Mirage Studios	19-01-1990		19-01-2007										Kevin Eastman/ Peter Laird		540
book							9780670849444	0670849448	us	The Egyptian Jukebox: A Conundrum	The Egyptian Jukebox: A Conundrum				Hardcover		Children's Books/ Puzzles/ Contemporary	$18.95	$0.84		5			Viking Adult	22-09-1993		19-01-2007										Nick  Bantock		48
book								B0000DP5Y3	fr	El greco	El greco				Reliure inconnue		Th&#x00e8;mes		EUR 22,99						20-01-1954		20-01-2007										Vallentin Antonina		
book							9780785108900	0785108904	us	Elektra Lives Again	Elektra Lives Again				Paperback		Marvel/ Contemporary/ Superheroes/ Elektra	$24.99	$22.49		4			Marvel Comics	01-09-2002		19-01-2007										Frank Miller		80
book							9780810932654	0810932652	us	Eleventh Hour	Eleventh Hour				Hardcover		Mysteries, Espionage, & Detectives/ Puzzles/ Anthologies/ Staff Favorites	$12.95	$0.33		5	Reading The Eleventh Hour is like running a marathon: one finishes exhausted but satisfied. Graeme Base, creator of the popular Animalia, has crafted another intricately wrought, gorgeously illustrated picture book, this time a mystery in verse. When Horace the Elephant decides to throw himself a party for his 11th birthday, he never suspects a crime will be committed by lunchtime. Who has stolen the birthday feast? As with any good mystery, everyone is guilty until proven innocent. The proof lies in the myriad clues embedded in each glorious illustration. Young sleuths will delight in decoding the complex messages that pop up in unexpected places./ Graeme Base used the buildings he saw during his travels through Africa, Asia, and Europe to design and decorate Horace's fantastic house. Astute readers may recognize Roman cathedrals, Scottish palaces, and stone carvings from India. Best of all, secreted in these walls are cryptic messages in Egyptian hieroglyphics, anagrams, and even Morse code to challenge the perceptive and deductive abilities of any reader "of tender years or long in tooth."The Eleventh Hour is a brilliant, rigorous, creative romp that no child (or adult) should miss. (All Ages)/ 		Harry N. Abrams	20-09-1993		19-01-2007										Graeme Base		
book							9780801972850	080197285X	us	Enamels, Enameling, Enamelists (Jewelry Crafts)	Enamels, Enameling, Enamelists (Jewelry Crafts)				Hardcover		Pottery & Ceramics	$29.95	$7.40					kp books	1984-02-04 12:00:00 +0000		2007-02-11 00:27:07 -0500										Glenice L. Matthews		192
book							9780517037355	0517037351	us	The Encyclopedia of Furniture: Third Edition - Completely Revised	The Encyclopedia of Furniture: Third Edition - Completely Revised				Hardcover		Furniture/ Antiques & Collectibles/ History	$30.00	$17.50		3.5	A completely revised edition, covering every period and development to the present, the designers and makers, the woods and other materials, the architecture and decoration. 2,000 photographs. Glossary. Bibliography. Index.		Clarkson Potter	13-12-1961		05-02-2007										Joseph Aronson		496
book							0789112051567	1561385263	us	The Encyclopedia of Jewelry-Making Techniques: A Comprehensive Visual Guide to Traditional and Contemporary Techniques	The Encyclopedia of Jewelry-Making Techniques: A Comprehensive Visual Guide to Traditional and Contemporary Techniques				Hardcover		Jewelry	$27.95	$14.95		4.5			Running Press Book Publishers	09-02-1995		10-02-2007										Jinks McGrath		176
book							9780847801497	0847801497	us	English Art Today, 1960-76	English Art Today, 1960-76				Paperback			$16.50	$12.00					Rizzoli	03-02-1978		05-02-2007										Ogliari		
book								B0008A3X4C	us	English furniture, decoration, woodwork & allied arts	English furniture, decoration, woodwork & allied arts: During the last half of the seventeenth century, the whole of the eighteenth century and the early part of the nineteenth				Unknown Binding		Furniture/ Decorating/ Decoration & Ornament		$67.47					Charles Scribner & Sons	20-01-1924		20-01-2007										Thomas Arthur Strange		368
book							9780851392042	0851392040	us	The Englishness of English Art	The Englishness of English Art				Hardcover				$32.00					Frederick A. Preager	1956-02-11 12:00:00 -0500		2007-02-11 00:54:05 -0500										Nikolaus Pevsner		208
book							9780875427195	0875427197	us	Enochian Workbook: A Complete Guide to Angelic Magic Presented in 43 Easy Lessons (Llewellyn's High Magick)	Enochian Workbook: A Complete Guide to Angelic Magic Presented in 43 Easy Lessons (Llewellyn's High Magick)				Paperback		Psychology & Counseling/ Wicca/ Witchcraft/ Tarot/ Magic/ Parapsychology/ Alchemy/ Personal Transformation	$19.95	$22.00		2			Llewellyn Publications	01-10-1995		13-01-2007										Gerald & Betty Schueler		336
book							9781566196635	1566196639	us	Erte	Erte				Hardcover				$13.99					Barnes & Noble	05-02-1996		05-02-2007										Jean Tibbetts		
book							9780486236278	0486236277	us	Erte Fashion Paper Dolls of the Twenties	Erte Fashion Paper Dolls of the Twenties				Paperback		Fashion/ Textiles & Costume/ Textile Arts	$5.95	$2.06		3	Celebrated fashion designer personally supervised adaptation of his striking designs for this set of 6 paper dolls with 43 costumes in full color. Svelte and elegant gowns, coats, hats and accessories for every season. 16 gorgeous plates./ 		Dover Publications	1978-06-01 12:00:00 +0000		2007-02-11 01:31:22 -0500										Erte		32
book							9780486247304	0486247309	us	Erte Postcards in Full Color: 24 Ready-to-Mail Postcards (Card Books)	Erte Postcards in Full Color: 24 Ready-to-Mail Postcards (Card Books)				Cards		Pop Culture/ jp-unknown1/ Postcards	$6.95	$4.72			24 exquisite masterpieces by the greatest theatrical and fashion illustrator of the 20th century are reproduced in full color in postcard form for mailing. "Harlequin," "Oriental Tale," "Stolen Kisses" and famous designs for Manon, Rigoletto, Legendary Kings, and more feature Ert&#x00e9;'s chic female temptresses. 24 full-color illustrations on postcard stock. Publisher's Note./ 		Dover Publications	1984-11-01 12:00:00 +0000		2007-02-11 01:31:10 -0500										Erte		6
book							9780836218053	0836218051	us	The Essential Calvin and Hobbes	The Essential Calvin and Hobbes				Paperback		Cartooning/ Calvin and Hobbes	$16.95	$0.43		5	Calvin and Hobbes books have taken the country by storm and here's the biggest, brightest one yet! Calvin and Hobbest soared to the top of the bestseller lists in its first month of publication, selling a million copies within 9 months of publication. Something Under The Bed Is Drooling exploded out of the stores, selling nearly a million copies within the first month of publication! Now, those two books are brought together in this over-size anthology-type book. Adding to the fun in The Essential Calvin and Hobbes are an original 16-page story and color Sunday cartoons.		Andrews McMeel Publishing	01-01-1988		19-01-2007										Bill Watterson		256
book							9780785809036	0785809031	us	The Essential Confucius	The Essential Confucius				Hardcover		Confucianism/ Eastern Philosophy/ Confucius	$25.00	$0.74		4.5	Cleary presents the core teachings of the great Chinese philosopher, educator, and social critic in a convenient, easy-to-read format. Sayings from Confucius's Analects, or collection of aphorisms, are arranged in small groups by topic following his commentaries on the I Ching, or Book of Changes, the most profound of the Chinese classics. These remarks, which were incorporated into the I Ching itself, afford, as Cleary says, "the most convenient lens through which to view the ideas of Confucius systematically." This elegant organization makes it simple for the reader to consult the great sage readily on the wide variety of subjects with which he was concerned--including morality, etiquette, diplomacy, and social responsibility. Cleary's translation captures all the simplicity and directness of Confucius's eminently practical approach to life: "Be dutiful at home, brotherly in public; be discreet and trustworthy, love all people, and draw near to humanity. If you have extra energy as you do that, then study literature." The introduction provides solid philosophical and historical background, and notes on each of the 64 sections provide further insight into the subtleties of Confucian wisdom. --Uma Kukathas		Book Sales	05-01-2000		11-01-2007												179
book								1840849525	us	Essential History of Art	Essential History of Art				Hardcover				$4.10					Dempsey Parr	2000-02-11 12:00:00 -0500		2007-02-11 01:06:25 -0500										Kirsten Bradbury		
book							9780752553573	0752553577	uk	Essential Mackintosh	Essential Mackintosh				Hardcover			&#x00a3;5.00	&#x00a3;21.00					Parragon Plus			05-02-2007										Fanny Blake		
book								0752551477	us	Essential Michelangelo	Essential Michelangelo				Hardcover		Michelangelo		$0.87		4			Parragon Publishing	2002-02-11 12:00:00 -0500		2007-02-11 01:25:14 -0500										Kirsten Bradbury		
book							9780865659544	0865659540	us	Ethnic Jewelry: Africa, Asia, And The Pacific	Ethnic Jewelry: Africa, Asia, And The Pacific				Hardcover		Jewelry	$65.00	$83.76		5			Vendome Press	1994-11-01 12:00:00 +0000		2007-02-11 00:43:07 -0500										Michel Butor		248
book							9780553349498	055334949X	us	Even Cowgirls Get the Blues	Even Cowgirls Get the Blues				Paperback		Entertainment/ Movie Tie-Ins/ United States/ Contemporary/ Literary	$14.00	$3.23		3.5	Starring Sissy Hanshaw--flawlessly beautiful,&#x00a0;&#x00a0;almost. A small-town girl with big-time dreams and a&#x00a0;&#x00a0;quirk to match--hitchhiking her way into your&#x00a0;&#x00a0;heart, your hopes, and your sleeping&#x00a0;&#x00a0;bags.../ / Featuring Bonanza Jellybean and the&#x00a0;&#x00a0;smooth-riding cowgirls of Rubber Rose Ranch. Chink,&#x00a0;&#x00a0;lascivious guru of yams and yang. Julian, Mohawk by&#x00a0;&#x00a0;birth; asthmatic esthete and husband by disposition.&#x00a0;&#x00a0;Dr. Robbins, preventive psychiatrist and reality&#x00a0;&#x00a0;instructor.../ / Follow Sissy's&#x00a0;&#x00a0;amazing odyssey from Virginia to chic Manhattan to the&#x00a0;&#x00a0;Dakota Badlands, where FBI agents, cowgirls, and&#x00a0;&#x00a0;ecstatic whooping cranes explode in a deliciously&#x00a0;&#x00a0;drawn-out climax...		Bantam	01-04-1990		18-01-2007										Tom Robbins		384
book							9780812920727	0812920724	us	Even White Boys Get the Blues	Even White Boys Get the Blues				Paperback			$12.95	$0.10		5			Three Rivers Press	10-11-1992		19-01-2007										Doug Marlette		186
book								B000GGMKTM	us	Expedition to Earth	Expedition to Earth				Paperback				$3.30			Here is a collection of his best short stories that will go far to increase his stature and popularitystories that will grip you and will haunt you for a long time to come. 'IF I FORGET THEE, OH EARTH...'; BREAKING STRAIN (Filmed as Trapped in Space, 1994); EXPEDITION TO EARTH; SUPERIORITY; NEMESIS; ENCOUNTER IN THE DAWN; LOOPHOLE; INHERITANCE; HIDE AND SEEK; SECOND DAWN, 1951; THE SENTINEL, 1954;		Ballantine	16-01-1965		16-01-2007										Arthur C. Clarke		
book							9781579905422	1579905420	us	Fabulous Felt Hats: Dazzling Designs from Handmade Felt	Fabulous Felt Hats: Dazzling Designs from Handmade Felt				Paperback		Fashion	$9.95	$7.01		4.5	Internationally-known felt artist Chad Hagen shows just how simple, good-looking, and varied feltmaking can be, as she guides you through the basics of making more than a dozen spectacular hand-sculpted hats. Here are 15 patterns with endless variations, all in classic shapes, and transformed into unique fashion statements with fanciful touches and exquisite embellishments. Berets have 'wings,' snoods come with long tails just right for scrunching up, and caps feature soft felt spikes or long "dreadlocks" to tie in knots. Even the most traditional designs, such as pillboxes and brimmed hats, sport whimsical tiny safety pins or beads and buttons. For those who prefer not to start from scratch, there's even advice on jazzing up store-bought hats. / / / 		Lark Books	01-08-2005		17-01-2007										Chad Alice Hagen		112
book							9780895772732	0895772736	us	Facts & Fallacies	Facts & Fallacies				Paperback		Dictionaries & Thesauruses/ Curiosities & Wonders	$30.00	$0.01					Readers Digest	01-05-1988		17-01-2007										Reader's Digest Editors		448
book							9780965020596	0965020592	us	Fahrenheit 451	Fahrenheit 451				Hardcover				$5.50		5			Ballantine	13-01-2001		13-01-2007										Ray Bradbury		
book							9780440226123	0440226120	us	Fairies: Real Encounters With Little People	Fairies: Real Encounters With Little People				Mass Market Paperback		Folklore & Mythology/ Mysticism/ Controversial Knowledge/ Metaphysical Phenomena/ Supernatural/ Unexplained Mysteries/ Fairy Tales/ Angels	$6.99	$2.20		4.5	Hordes of tiny people playing at a spot in Wales called "Fairies Bog"...an impossibly tiny shoe found in Ireland...fairy dust discovered on Mount Shasta, California...the wondrous sighting of a winged woman inside a rose./ / These and many more astounding accounts offer tangible evidence about the existence of fairies, dwarves, gnomes, pixies, brownies, and elves. Amazing facts include information on the healing powers of fairies, the connection between the little people and UFOs, fairy sites to visit in the British Isles, and much more!		Dell	10-08-1998		17-01-2007										Janet Bord		242
book							9780405015106	0405015100	us	Fantastic Art, Dada, Surrealism	Fantastic Art, Dada, Surrealism				Hardcover		Dadaism	$28.95	$38.00					Ayer Co Pub	1980-02-12 12:00:00 +0000		2007-02-11 00:58:10 -0500										Alfred Hamilton Barr		
book							9780140586954	0140586954	us	Fear of Dreaming: The Selected Poems (Poets, Penguin)	Fear of Dreaming: The Selected Poems (Poets, Penguin)				Paperback		20th Century/ United States	$18.00	$3.96		5			Penguin (Non-Classics)	01-11-1993		16-01-2007										Jim Carroll		288
book							9780843104936	0843104937	us	Feather Fin (reissue) (Serendipity)	Feather Fin (reissue) (Serendipity)				Paperback		Fiction/ Science Fiction, Fantasy, & Magic/ Picture Books	$4.99	$2.90		5	Even though Feather Fin is curious about the mysterious world high above his ocean home, he discovers that traveling far from home can be dangerous.		Price Stern Sloan	11-08-2003		18-01-2007										Stephen Cosgrove		32
book							9780500019085	0500019088	us	The Fields of David Smith	The Fields of David Smith				Hardcover		Schools, Periods & Styles/ Artists, Architects & Photographers/ New York	$45.00	$20.00		3	After David Smith's untimely death in 1965, row upon row of extraordinary abstract sculptures were discovered in the grassy fields that surround the artist's home and studio at Bolton Landing in the Adirondack Mountains of upstate New York. Fittingly, many of these works were subsequently acquired by Storm King Art Center, the world's quintessential sculpture park, which is set on 500 acres of rolling lawns, fields, and woodlands and surrounded by the undulating profiles of the Hudson Highlands. Smith's sculpture fields there provide the inspiration for this book, published to coincide with a three-year exhibition (1997 to 1999) of the works at Storm King. The human form in landscape, or "the artist in the world," is a consistent visual theme for this grouping of Smith's monumental planar and volumetric assemblages of geometric shapes and seamlessly transformed found objects. In Portrait of a Painter (1954), for instance, Smith created a figural silhouette in which flat bronze rectangles form a spinal column and pelvis, crescent-shaped arches delineate the curves of a body, and an actual cast palette serves as a head./ This large, colorful book is chock-a-block with images and information, collaged in the lyrical spirit of David Smith's diverse works. In her introductory essay, daughter Candida N. Smith recalls a magical childhood in the creative oasis of what the artist called his "sculpture farm," and writes eloquently of his art as an extension of his identity. A memoir by prominent art critic and historian Irving Sandler describes Smith's circle (which included Jackson Pollock, Willem de Kooning, and Franz Kline), his deeply modernist roots, and his interest in cubism, constructivism, and surrealism. Throughout the book are quotes by many of Smith's artist friends, including Helen Frankenthaler ("A ribald and beautiful human being, with a roar of laughter"); Kenneth Noland ("When he did something, he did it absolutely. He meant for it to stand up to anything: nature, aesthetics, anything"); Anthony Caro ("He made his life around sculpture and I think he taught me that"); and Mark di Suvero, ("[He] had the animal energy of an industrial worker, the capacity, the craftsmanship and the will of an original artist, and he drank his booze ... in a way that made me shudder.... He was a master"). --A.C. Smith/ 		Thames & Hudson	1999-02-05 12:00:00 +0000		2007-02-11 01:23:59 -0500										Candida Smith/ Irving Sandler/ Mark Di Suvero		144
book							9781887374026	1887374027	us	The Fine Art of the Tin Can: Techniques and Inspirations	The Fine Art of the Tin Can: Techniques and Inspirations				Paperback		Decorative/ Fun with Paper & Wood, Stones & Knives/ Jewelry/ Metal Work	$21.95	$14.86		5			Sterling	1999-12-31 12:00:00 +0000		2007-02-11 01:46:44 -0500										Bobby Hansson		144
book							9780810933248	0810933241	us	First Impressions: Carl Faberge (First Impressions)	First Impressions: Carl Faberge (First Impressions)				Hardcover		Architecture/ Sculpture/ Jewelry/ Historical	$19.95	$1.54		4			Harry N. Abrams	01-02-1994		10-02-2007										Geza Von Habsburg/ Marina Lopato		92
book							9780918820051	0918820057	us	Flexible Shaft Machine Jewelry Techniques	Flexible Shaft Machine Jewelry Techniques				Paperback		Jewelry	$12.00	$42.00					Dunconor Books	06-02-1983		10-02-2007										Harold O'Connor		47
book							9780312296131	0312296134	us	Flight of Fancy: The Banishment and Return of Ornament	Flight of Fancy: The Banishment and Return of Ornament				Hardcover			$30.00	$1.49					St Martins Pr	12-01-1985		20-01-2007										Brent C. Brolin		338
book							9780843176629	0843176628	us	Flutterby Fly//Rev (Serendipity Books)	Flutterby Fly//Rev (Serendipity Books)				Paperback		Fiction/ Picture Books/ Values	$4.99	$3.17			Flutterby Fly helps keep the butterflies in line, at least when they aren't distracted by gossip...When her flock becomes afraid, Flutterby helps them learn that they can't believe everything they hear.		Price Stern Sloan	23-07-2001		18-01-2007										Stephen Cosgrove/ Robin James		32
book								B000JHKIJC	us	Forgotten Printmakers of the 19th Century	Forgotten Printmakers of the 19th Century				Paperback				$18.00					Kovler Gallery	1968-02-11 12:00:00 -0500		2007-02-11 00:53:14 -0500												160
book							9780873382120	0873382129	us	Form Emphasis for Metalsmiths	Form Emphasis for Metalsmiths				Paperback			$18.00	$11.95		2.5			Kent State University Press	1978-02-06 12:00:00 +0000		2007-02-11 00:28:18 -0500										Heikki Seppa		146
book								185648758X	us	Frank Lloyd Wright: A Visual Encyclopedia	Frank Lloyd Wright: A Visual Encyclopedia				Hardcover				$29.96			An A-Z listing of the work, family, friends and the major events which shaped his career, this provides a fascinating and comprehensive guide to Wright's life and times. Over 1000 stunning photographs, many new.		PRC	05-02-2004		05-02-2007										Iain Thompson		416
book								B000HB0OIU	us	Frankenstien	Frankenstien				Mass Market Paperback									Signet	16-01-1965		16-01-2007										Mary Shelly		
book								B0007DUFFU	us	French drawings from the 15th to the early 19th century (Drawings of the masters)	French drawings from the 15th to the early 19th century (Drawings of the masters)				Unknown Binding				$5.94					Shorewood Publishers	18-01-1964		18-01-2007										Jean Vallery-Radot		141
book							9781572153233	1572153237	us	Frida Kahlo	Frida Kahlo				Paperback			$14.99	$1.15		5			JG Press	06-02-2003		05-02-2007										Salomon Grimberg		128
book							9780195201451	0195201450	us	Furniture: A Concise History	Furniture: A Concise History				Hardcover		Furniture	$19.95	$14.24					Oxford University Press	1979-02-01 12:00:00 +0000		2007-02-11 01:35:07 -0500										Edward Lucie-Smith		216
