medium	associatedURL	boxHeightInInches	boxLengthInInches	boxWeightInPounds	boxWidthInInches	scannednumber	upc	asin	country	title	fullTitle	series	numberInSeries	edition	aspect	mediacount	genre	price	currentValue	language	netrating	description	owner	publisher	published	rare	purchaseDate	rating	used	signed	hasExperienced	notes	location	paid	condition	notowned	director	stars	features	mpaarating	theatricalDate	minutes
movie							0634991140324	B00009VTXO		Cky Trilogy					DVD		Classics (Silents//Avant Garde)	$29.99			3.33			Ventura Distribution	12-08-2003		20-02-2005										Bam Margera	Bam Margera	Color			
movie							0730475826248	B00005MGBR		CKY2K					DVD			$19.95			4.81	If you like your humor down and dirty--or just plain juvenile and scatological--then you'll want to see CKY2K, which served in part as inspiration for MTV's Jackass. The title stands for "Camp Kill Yourself 2000," and ringleaders Bam Margera and Brandon DiCamillo prove there's nothing they won't do for a laugh, whether it means destroying a rental car, riding furniture tied behind moving vehicles, or performing Candid Camera-style practical jokes. For good measure, you get lots of footage of Bam and buddies doing skateboard tricks as well as their bizarre trip to Iceland (where, at one point, they heckle the house of rock star Bjork). Extra features include raunchy bits that just as easily could have been part of the main menu and a pair of thrash-metal music videos with the CKY2K sensibility. --Marshall Fine		Ventura Distribution	22-05-2001		20-02-2005										Bam Margera		Color	NR	01-01-2001	
movie							0634991141925	B00008DDWT		CKY4: The Latest & Greatest					DVD		Sports Highlights	$19.99	$13.00		4.63			Ventura Distribution	25-03-2003		20-02-2005										Bam Margera	Bam Margera	Color/ Closed-captioned		01-01-2003	
movie							0786936361834	6303430570		Clerks					DVD		Feature Film-comedy	$9.99	$3.99		4.36	Before Kevin Smith became a Hollywood darling with Chasing Amy, a film he wrote and directed, he made this $27,000 comedy about real-life experiences working for chump change at a New Jersey convenience store. A rude, foul-mouthed collection of anecdotes about the responsibilities that go with being on the wrong side of the till, the film is also a relationship story that takes some hilarious turns once the lovers start revealing their sexual histories to one another. In the best tradition of first-time, ultra-low budget independent films, Smith uses Clerks as an audition piece, demonstrating that he not only can handle two-character comedy but also has an eye for action--as proven in a smoothly handled rooftop hockey scene. Smith himself appears as a silent figure who hangs out on the fringes of the store's property. --Tom Keogh 		Miramax Home Entertainment	02-04-2002		20-02-2005										Kevin Smith	Brian O'Halloran/ Jeff Anderson	Black & White/ Closed-captioned/ Dolby/ NTSC	R	19-10-1994	
movie							0786936145335	B0000541WH	us	Clerks - The Animated Series Uncensored	Clerks - The Animated Series Uncensored				DVD	2	Drama	$14.99	$6.97		4	Writer-director Kevin Smith revives the characters of his indie classic film Clerks for this animated series created for network television. Though it aired for just two episodes on TV, the two-disc set has all six episodes plus a bevy of special features./ The episodes feature store clerks Dante and Randal and their ongoing adventures among the shelves of your local corner store. Never far from the epicenter of these adventures are the irreverent Jay and Silent Bob. Whether it's getting trapped in the walk-in cooler, attending their high school reunion, or fighting rival Leonardo Leonardo (who wants to dominate the local Quick Mart market), Clerks spoofs TV and movies with mocking pop-culture jokes and cameos by a number of celebrities. Ultimately, though, Clerks: The Animated Series suffers at the hands of network censors, lacking the obnoxious punch that made Clerks the film so offbeat and amusing./ Smith doesn't disappoint, however, with the inclusion of a number of special features on the DVD set, most notably the ever-insightful director's commentary with guests Jason Mewes (Jay), Brian O'Halloran (Dante), and Jeff Anderson (Randal). So while the series itself may be ill-fated, featurette on the making of the animated series--including storyboards and information on character development and the comic book influence on the drawing style--make this a robust offering for Kevin Smith completists. --Adam Medros/ 		Miramax	20-02-2001		30-07-2006										Chris Bailey/ Steve Loter/ Nicholas Filippi	Brian O'Halloran/ Jeff Anderson/ Jason Mewes/ Kevin Smith/ Alec Baldwin	Animated/ Closed-captioned/ Color/ NTSC/ 1.33:1	NR	31-05-2000	
movie							0024543125594	B00005JMDW		Club Dread					DVD		Feature Film-comedy	$19.98	$9.99		3.06			Twentieth Century Fox Home Video	28-09-2004		20-02-2005										Jay Chandrasekhar	Jay Chandrasekhar/ Kevin Heffernan/ Bill Paxton	Color/ Widescreen/ Dolby	R	27-02-2004	
movie							0786936230635	B0000V47B2		Comic Book - The Movie					DVD		Feature Film-comedy	$14.99	$14.99		3.64	Who knew Luke Skywalker was such a geek? As the director-coproducer-star of Comic Book: The Movie, Star Wars veteran Mark Hamill embraces his inner nerd and pays affectionate tribute to those who are attracted (either casually or obsessively) to the fantastical realms of comic books. As "Don Swan," high school teacher, lifelong comic collector, and microbudget filmmaker, Hamill joins legions of fans at San Diego's epic-scale ComiCon International (the world's largest sci-fi//comic convention), on a mission to thwart a dubious Hollywood makeover of Captain Courage, his favorite "Golden Age" comic superhero. Hamill's experiment in "mockumentary" is unscripted, haphazard, not very funny, and a bit too "inside" for mass appeal, but its spontaneous spirit hides a worthy agenda that any fan can relate to: While exploring the lively atmosphere of ultimate fandom, Comic Book: The Movie investigates the schism between Hollywood and fandom that results, too often, in lackluster big-screen adventures for beloved comic-book characters. By recruiting a cast of prominent cartoon-voice talent (like himself), in addition to an all-star list of comic-artist cameos including Stan Lee, Matt Groening, and many others, Hamill has crafted a casual yet thoroughly researched portrait of one of America's most vibrant subcultures. The abundant bonus features are arguably better than the feature itself, most notably the extended interviews with Stan Lee, Hugh Hefner, Kevin Smith, and B-movie king Bruce Campbell, all of whom (like Hamill) have played influential roles in the fandom they celebrate. --Jeff Shannon		Buena Vista Home Vid	07-09-2004		20-02-2005										Mark Hamill		Color/ Closed-captioned	PG-13	27-01-2004	
movie							0658149804029	B00006AUJG		Comic Book Villains					DVD		Feature Film-comedy	$9.98			2.8			Lionsgate	03-09-2002		20-02-2005										James Robinson		Color/ Closed-captioned	R	01-01-2002	
movie							0733961701746	B00004ZEU5		The Complete Monty Python's Flying Circus				Special	DVD	14	Television	$199.95			4.6	While more cautious fans may want to pick and choose among the previously released individual volumes of Monty Python for their collection, true Pythonites will want to own this definitive, 14-volume DVD-only boxed set that contains all 45 episodes (in chronological order) of Monty Python's Flying Circus. This "persistently silly" collection encompasses three-and-a-half seasons of dead parrots, cross-dressing lumberjacks, loonies, upper class twits, and spam, spam, spam, spam, spam, spam, spam, baked beans, spam, spam, and spam. Click past the occasional clunker and go directly to such signature sketches as the Ministry of Silly Walks, the Spanish Inquisition, the Fish-Slapping Dance, the Dead Parrot Sketch, the Lumberjack Song, the Cheese Shop, the Argument Clinic, and Nudge, Nudge. Taken as a whole, one marvels at how Graham Chapman, John Cleese, Eric Idle, Terry Jones, Michael Palin, and Terry Gilliam thoroughly subverted television convention with "something completely different," like sketches with no punch lines ("Your average TV viewer isn't going to understand this")./ / A warning to the uninitiated: there is much "material that some may find offensive, but which is really smashing." Violations of something called the "Strange Sketch Act" are the least of the troupe's offenses, as witness the Oscar Wilde Sketch, the Dirty Vicar Sketch, and the Most Awful Family in Britain Sketch, all of which achieve "the really gross awfulness" all Python fans are looking for. Say no more. --Donald Liebenson/ / 		A & E Entertainment	30-11-2000		20-02-2005											Monty Python's Flying Circus	Color/ Box set	NR		
movie							7321950593514	B000EHQSOG	us	Corpse Bride	Corpse Bride				DVD						4	Who else but Tim Burton could make Corpse Bride, a necrophiliac's delight that's fun for the whole family? Returning to the richly imaginative realm of stop-motion animation (after previous successes with The Nightmare Before Christmas and James and the Giant Peach), Burton, with codirector Mike Johnson, invites us to visit the dour, ashen, and drearily Victorian mansions of the living, where young Victor Van Dort (voiced by Johnny Depp) is bequeathed to wed the lovely Victoria (Emily Watson). But the wedding rehearsal goes sour and, in the kind of Goth-eerie forest that only exists in Burton-land, Victor suddenly finds himself accidentally married to the Corpse Bride (Helena Bonham Carter), a blue-tinted, half-skeletal beauty (how pleasantly full-bosomed she remains!) with a loquacious maggot installed behind one prone-to-popping eyeball. This being a Burton creation, the underworld of the dead is a lively and colorful place indeed, and Danny Elfman's songs and score make it even livelier, presenting Victor with quite a dilemma: Should he return above-ground to Victoria, or remain devoted to his corpse bride? At a brisk 76 minutes, Burton's graveyard whimsy (loosely based on a 19th century Russian folktale) never wears out its welcome, and the voice casting (which includes Tracey Ullman and Albert Finney) is superbly matched the film's gloriously amusing character design, guaranteed to yield a wealth of gruesome toys and action figures for many Halloweens to come. --Jeff Shannon					30-07-2006										Mike Johnson/ Tim Burton	Johnny Depp/ Helena Bonham Carter/ Emily Watson/ Tracey Ullman/ Paul Whitehouse/ Joanna Lumley/ Albert Finney/ Richard E. Grant/ Christopher Lee/ Michael Gough/ Jane Horrocks/ Enn Reitel/ Deep Roy/ Danny Elfman/ Stephen Ballantyne/ Lisa Kay	NTSC	PG	23-09-2005	
movie							0669198800405	B0001BMM4A	us	Cowboy Bebop - Session 1	Cowboy Bebop - Session 1				DVD		Cowboy Bebop/ Bandai	$29.98	$7.00		5	Each of these two snazzy 20-minute installments is a self-contained and satisfying adventure tale about a futuristic hipster bounty hunter, from the most popular Japanese animated TV series of 1998. This is elegant action-comedy anime, with smoothly integrated CGI space-flight elements, gorgeous graphics, blues harmonica and sax riffs on the soundtrack, and a no-sweat post-Tarantino attitude. Despite occasional eruptions of gun-fu Asian-action violence, and some intimations of heavy-duty drug use (one especially noxious narcotic is administered as an aerosol spray, straight onto the user's eyeballs), the tone is surprisingly convivial. None of the generic tough elements are grim or mean-spirited. Lanky antihero Spike Spiegel is a planet-hopping bounty hunter with a cyborg sidekick and a genetically enhanced Welsh Corgi assistant, and as many wisecracks as punches get thrown. The emphasis is on clever twists of plot in an episodic short-story format. --David Chute		Bandai	04-04-2000		30-07-2006										Shinichir&#x00f4; Watanabe	K&#x00f4;ichi Yamadera/ Unsh&#x00f4; Ishizuka/ Megumi Hayashibara/ Aoi Tada/ Gara Takashima/ Norio Wakamoto/ Miki Nagasawa/ Tsutomu Tareki/ Takehiro Koyama/ Hitoshi Hirao/ Akihiko Nakajima/ Hiroshi Naka/ B&#x00e9;rang&#x00e8;re Jean/ William Bassett/ Tom Fahn/ Bill Whizins/ Thomas Cooper (III)/ Edward Kramer/ Patricia Ja Lee/ Michael McConnohie	Animated/ Color/ Subtitled/ NTSC	NR	04-04-2003	
movie							0669198129193	B00004RFI7	us	Cowboy Bebop - Session 2	Cowboy Bebop - Session 2				DVD		Cowboy Bebop/ Bandai	$29.98	$7.99		5	The popular anime series Cowboy Bebop is one of the few Blade Runner spin-offs that pays off big dividends. The Cowboy Beboppers are free-spirited bounty hunters who roam the solar system looking for criminals. Told in 25-minute episodes, this very different anime series has the stuff many shows lack: a strong vision, intriguing plots, and tantalizing back-stories. In this second session (episodes 6-10), we begin to learn some of the history of our hero, Spike, his right-hand man, Jet, and even the gloomy story behind the fate of the charred Earth. Episodes include a run-in with a deadly child prodigy, a trucker tale, a curious trip to the terraformed Venus, where a loner seeks to learn from Spike. There's also a tale of Jet's old flame, and the introduction of the crew's latest member--a computer hacker named Ed. Gorgeously drawn and fueled by cool music--often counterpointing the action--Cowboy Bebop is too good (and accessible) for just anime fans. (Ages 12 and older) --Doug Thomas		Bandai	06-06-2000		30-07-2006										Shinichir&#x00f4; Watanabe	K&#x00f4;ichi Yamadera/ Unsh&#x00f4; Ishizuka/ Megumi Hayashibara/ Aoi Tada/ Gara Takashima/ Norio Wakamoto/ Miki Nagasawa/ Tsutomu Tareki/ Takehiro Koyama/ Hitoshi Hirao/ Akihiko Nakajima/ Hiroshi Naka/ B&#x00e9;rang&#x00e8;re Jean/ William Bassett/ Tom Fahn/ Bill Whizins/ Thomas Cooper (III)/ Edward Kramer/ Patricia Ja Lee/ Michael McConnohie	Animated/ Color/ Subtitled/ NTSC/ 1.33:1	NR	04-04-2003	125
movie							0669198129292	B00004T3BR	us	Cowboy Bebop - Session 3	Cowboy Bebop - Session 3				DVD		Cowboy Bebop/ Bandai	$29.98	$10.96		5	The centerpiece of the third disc of this popular series is the two-part adventure "Jupiter Jazz," which offers hints about the shrouded past of hero Spike Spiegel. Spike returns to his old haunts on Callisto in search of a mysterious woman, and comes into conflict with his former underworld associates: the icy Vicious, apprentice mobster Lin, and transgendered barroom musician Gren. Director Shinichiro Watanabe's approach to storytelling is often fragmented and nonlinear, but the results form a strikingly moody collage of falling snow, gritty, blue-tinted cityscapes, and melancholy saxophone riffs. Few big-budget Hollywood features have presented a sense of urban alienation as effectively./ The mini-mystery, "Toys in the Attic," comes to an unsatisfying conclusion that the elaborate computer-generated tracking shots can't disguise--and suggests that adding the spunky Ed to the cast was not a great idea. In "Bohemian Rhapsody," the crew of the Bebop find themselves pitted against an aged programming genius who designed a high-tech transportation system--and hid a flaw in the software. But he also concealed clues in chess pieces, setting up a formal and formidable battle of wits./ Note: Viewers of Chinese ancestry and other viewers may find the depiction of the gang lords in "Jupiter Jazz" offensive. Unrated: Suitable for ages 13 and older for nudity, violence, and adult situations. --Charles Solomon/ 		Bandai	04-07-2000		30-07-2006										Shinichir&#x00f4; Watanabe	K&#x00f4;ichi Yamadera/ Unsh&#x00f4; Ishizuka/ Megumi Hayashibara/ Aoi Tada/ Gara Takashima/ Norio Wakamoto/ Miki Nagasawa/ Tsutomu Tareki/ Takehiro Koyama/ Hitoshi Hirao/ Akihiko Nakajima/ Hiroshi Naka/ B&#x00e9;rang&#x00e8;re Jean/ William Bassett/ Tom Fahn/ Bill Whizins/ Thomas Cooper (III)/ Edward Kramer/ Patricia Ja Lee/ Michael McConnohie	Animated/ Color/ Full Screen/ Subtitled/ NTSC	NR	04-04-2003	100
movie							0669198800436	B0001BMM54	us	Cowboy Bebop - Session 4	Cowboy Bebop - Session 4				DVD		Cowboy Bebop/ Bandai	$29.98	$12.00		5	Director Shinichiro Watanabe and writer Keiko Nobumoto continue to explore the pasts of the main characters in this gritty, outer-space Western. In "My Funny Valentine," Faye confronts a two-bit confidence man and discovers that her background is as much of a mystery to her as it is to everyone else. "Black Dog Serenade" reunites Jet Black with his former partner at the ISSP (Inter Solar System Police) against Udai Taxim, the criminal whose attack cost Jet his left arm. This dark, violent tale of betrayal, discovery, and revenge offers both surprises and insights. In the silly "Mushroom Samba," the Bebop is out of fuel, and everyone's broke and hungry. Ed goes off to search for something to eat, and gets involved in the pursuit of a seedy mushroom dealer. "Speak Like a Child" showcases the sardonic humor that has won Cowboy Bebop fans on both sides of the Pacific. A mysterious package arrives C.O.D. for Faye that contains an ancient artifact--a Beta videocassette! Spike and Jet ransack a ruined museum on Earth to find a player; when they finally view the tape, they see a young girl cheering her future self, a girl who looks curiously like Faye.../ Unrated: Suitable for ages 13 and older for nudity, violence, and adult situations. --Charles Solomon/ 		Bandai	01-08-2000		30-07-2006										Shinichir&#x00f4; Watanabe	K&#x00f4;ichi Yamadera/ Unsh&#x00f4; Ishizuka/ Megumi Hayashibara/ Aoi Tada/ Gara Takashima/ Norio Wakamoto/ Miki Nagasawa/ Tsutomu Tareki/ Takehiro Koyama/ Hitoshi Hirao/ Akihiko Nakajima/ Hiroshi Naka/ B&#x00e9;rang&#x00e8;re Jean/ William Bassett/ Tom Fahn/ Bill Whizins/ Thomas Cooper (III)/ Edward Kramer/ Patricia Ja Lee/ Michael McConnohie	Animated/ Color/ Dubbed/ NTSC/ 1.33:1	NR	04-04-2003	
movie							0669198800443	B0001BMM5E	us	Cowboy Bebop - Session 5	Cowboy Bebop - Session 5				DVD		Cowboy Bebop/ Bandai	$29.98	$19.68		4.5	The second episode on this disc, "Pierrot Le Fou", epitomizes the mixture of sardonic humor and noir adventure that has made Cowboy Bebopso popular in Japan and the U.S. Spike fights a deadly duel with the title character, the product of a botched ISSP (Inter Solar System Police) attempt to create a perfect assassin. Their showdown takes place in a saccharine but sinister amusement park, a device used in many live action and animated films, but rarely so effectively./ Director Shinichiro Watanabe uses an impressive array of computer effects to depict a battle in hyperspace in "Boogie-Woogie Feng-Shui," as Jet helps the daughter of an old friend solve a mystery involving gangsters and mysticism. When pirates hit the Bebop with a computer virus in "Wild Horses," Spike demonstrates his skill as a pilot, flying the Swordfish by the seat of his pants. In "Cowboy Funk," Spike almost captures the Teddy Bomber, a fanatic who hides explosives in stuffed animals, but he's interrupted by Andy, a wealthy heir who plays at bounty hunter in cowboy regalia. The near-farcical rivalry that develops between Andy and Spike feels closer in tone to the misadventures of Vash the Stampede in "Trigun" than the gritty hero of "Pierrot Le Fou."/ Unrated: suitable for ages 13 and up for violence, profanity, and smoking. --Charles Solomon/ 		Bandai	05-09-2000		30-07-2006										Shinichir&#x00f4; Watanabe	K&#x00f4;ichi Yamadera/ Unsh&#x00f4; Ishizuka/ Megumi Hayashibara/ Aoi Tada/ Gara Takashima/ Norio Wakamoto/ Miki Nagasawa/ Tsutomu Tareki/ Takehiro Koyama/ Hitoshi Hirao/ Akihiko Nakajima/ Hiroshi Naka/ B&#x00e9;rang&#x00e8;re Jean/ William Bassett/ Tom Fahn/ Bill Whizins/ Thomas Cooper (III)/ Edward Kramer/ Patricia Ja Lee/ Michael McConnohie	Animated/ Color/ NTSC/ 1.33:1	NR	04-04-2003	
movie							0043396090552	B00005JMBJ	us	Cowboy Bebop - The Movie	Cowboy Bebop - The Movie				DVD		Sci-Fi Action/ Cowboy Bebop/ Animation/ Bounty Hunters/ Heroic Missions/ Race Against Time/ Anime & Sci-Fi Animation/ Science Fiction & Fantasy	$26.95	$10.99		4.5	As the eagerly awaited Cowboy Bebop feature film reunites the original director, screenwriter, composer, and vocal cast, it's not surprising that the film plays like an expanded TV episode. What should be the routine capture of a two-bit hacker by Faye escalates into a deadly game of cat and mouse, as Spike and the gang struggle to prevent the evil Vincent Volaju from murdering every human on Mars. Director Shinichiro Watanabe handles the action sequences with his usual panache. Inside the sinister Cherious Medical research facility, Spike fights a beautiful agent, using a push broom in a series of maneuvers Jackie Chan might envy. The climactic duel between Spike and Vincent plays against innocent yet eerie images of a Halloween carnival, recalling the amusement park setting of episode 20, "Pierrot Le Fou."Knockin' on Heaven's Door will delight fans of the series and provide an excellent introduction for the uninitiated who want to know why Cowboy Bebop is so popular on both sides of the Pacific. (Rated R: violence, brief nudity, minor profanity, tobacco use) --Charles Solomon		Sony Pictures	24-06-2003		30-07-2006										Hiroyuki Okiura/ Shinichir&#x00f4; Watanabe	Bruno Mullenaerts/ Martin Halm/ Steven Jay Blum/ K&#x00f4;ichi Yamadera/ Unsh&#x00f4; Ishizuka/ Beau Billingslea/ Wendee Lee/ Yolanda Quesada/ Marion Sawatzki/ Megumi Hayashibara/ Melissa Charles/ Aoi Tada/ Sabine Bohlmann/ St&#x00e9;phane Flamand/ Jennifer Hale/ Ai Kobayashi/ Nicholas Guest/ Mickey Curtis/ Daran Norris/ Tsutomu Isobe	Anamorphic/ Animated/ Closed-captioned/ Color/ Dolby/ Dubbed/ Subtitled/ Widescreen/ NTSC/ 1.85:1	NR	04-04-2003	114
movie							0043396059900	B00003CXR4		Crouching Tiger, Hidden Dragon					DVD		Foreign Film - Chinese	$14.94	$10.99		3.99	Hong Kong wuxia films, or martial arts fantasies, traditionally squeeze poor acting, slapstick humor, and silly story lines between elaborate fight scenes in which characters can literally fly. Crouching Tiger, Hidden Dragon has no shortage of breathtaking battles, but it also has the dramatic soul of a Greek tragedy and the sweep of an epic romance. This is the work of director Ang Lee, who fell in love with movies while watching wuxia films as a youngster and made Crouching Tiger as a tribute to the form. To elevate the genre above its B-movie roots and broaden its appeal, Lee did two important things. First, he assembled an all-star lineup of talent, joining the famous Asian actors Chow Yun-fat and Michelle Yeoh with the striking, charismatic newcomer Zhang Ziyi. Behind the scenes, Lee called upon cinematographer Peter Pau (The Killer, The Bride with White Hair) and legendary fight choreographer Yuen Wo-ping, best known outside Asia for his work on The Matrix. Second, in adapting the story from a Chinese pulp-fiction novel written by Wang Du Lu, Lee focused not on the pursuit of a legendary sword known as "The Green Destiny," but instead on the struggles of his female leads against social obligation. In his hands, the requisite fight scenes become another means of expressing the individual spirits of his characters and their conflicts with society and each other./ / The filming required an immense effort from all involved. Chow and Yeoh had to learn to speak Mandarin, which Lee insisted on using instead of Cantonese to achieve a more classic, lyrical feel. The astonishing battles between Jen (Zhang) and Yu Shu Lien (Yeoh) on the rooftops and Jen and Li Mu Bai (Chow) atop the branches of bamboo trees required weeks of excruciating wire and harness work (which in turn required meticulous "digital wire removal"). But the result is a seamless blend of action, romance, and social commentary in a populist film that, like its young star Zhang, soars with balletic grace and dignity. --Eugene Wei/ / 		Columbia Tri-Star	04-05-2004		20-02-2005										Ang Lee	Yun-Fat Chow/ Michelle Yeoh/ Ziyi Zhang	Color/ Closed-captioned/ Widescreen/ Dolby	PG-13	22-12-2000	
movie							0794043465727	0780622553		Dark City (New Line Platinum Series)					DVD		Science Fiction	$9.97	$6.88		4.35	If you're a fan of brooding comic-book antiheroes, got a nihilistic jolt from The Crow (1994), and share director Alex Proyas's highly developed preoccupation for style over substance, you might be tempted to call Dark City an instant classic of visual imagination. It's one of those films that exists in a world purely of its own making, setting its own rules and playing by them fairly, so that even its derivative elements (and there are quite a few) acquire their own specific uniqueness. Before long, however, the film becomes interesting only as a triumph of production design. And while that's certainly enough to grab your attention (Blade Runner is considered a classic, after all), it's painfully clear that Dark City has precious little heart and soul. One-dimensional characters are no match for the film's abundance of retro-futuristic style, so it's best to admire the latter on its own splendidly cinematic terms. Trivia buffs will be interested to know that the film's 50-plus sets (partially inspired by German expressionism) were built at the Fox Film Studios in Sydney, Australia, home base of director Alex Proyas and producer Andrew Mason. The underground world depicted in the film required the largest indoor set ever built in Australia. Befitting a film of such ambition, the DVD includes a feast of bonus features, including audio commentaries by the director, producer, writers, and cinematographer, and also by film critic Roger Ebert, who named Dark City one of the best films of 1998. Also included is an isolated music track, an interactive game, and a photo gallery of production stills and set design sketches. --Jeff Shannon 		New Line Home Entertainment	03-02-2004		20-02-2005										Alex Proyas	Rufus Sewell/ Kiefer Sutherland/ Jennifer Connelly	Color/ Closed-captioned/ Widescreen/ Dolby	R	27-02-1998	
movie							0043396028494	B00000JPH6	us	The Dark Crystal	The Dark Crystal				DVD		3-6 Years/ 7-9 Years/ 10-12 Years/ Feature Fantasy Films/ Family Films/ Heroic Missions/ Kids and Family	$19.94	$6.74		4.5	Jim Henson's fantasy epic The Dark Crystal doesn't take place a long time ago in a galaxy far, far away, but like Star Wars it takes the audience to a place that exists only in the imagination and, for an hour and a half, on the screen. Recalling the worlds of J.R.R. Tolkien, Henson tells the story of a race of grotesque birdlike lizards called the Skeksis, gnomish dragons who rule their fantastic planet with an iron claw. A prophecy tells of a Gelfling (a small elfin being) who will topple their empire, so in their reign of terror they have exterminated the race, or so they think. The orphan Jen, raised in solitude by a race of peace-loving wizards called the Mystics, embarks on a quest to find the missing shard of the Dark Crystal (which gives the Skeksis their power) and restore the balance of the universe. Henson and codirector Frank Oz have pushed puppetry into a new direction: traditional puppets, marionettes, giant bodysuits, and mechanical constructions are mixed seamlessly in a fantasy world of towering castles, simple huts, dank caves, a giant clockwork observatory, and a magnificent landscape that seem to have leaped off the pages of a storybook. Muppet fans will recognize many of the voice actors--a few characters sound awfully close to familiar comic creations--but otherwise it's a completely alien world made familiar by a mythic quest that resonates through stories over the ages. --Sean Axmaker		Sony Pictures	05-10-1999		30-07-2006										Jim Henson/ Frank Oz	Jim Henson/ Kathryn Mullen/ Frank Oz/ Jean-Pierre Amiel/ Robbie Barnett/ Peter Burroughs/ Malcolm Dixon/ Mike Edmonds/ Dave Goelz/ Louise Gold/ David Greenaway/ Hus Levant/ Brian Muehl/ Bob Payne/ Toby Philpott/ Kiran Shah/ Richard Slaughter/ Steve Whitmire/ Simon Williamson	Anamorphic/ Closed-captioned/ Color/ Dolby/ Widescreen/ NTSC/ 2.35:1	PG	17-12-1982	94
movie							0089859820526	B00000F169		Dark Star					DVD		Science Fiction	$9.99	$8.99		3.76	The Dark Star's crew is on a 20-year mission to destroy unstable planets and make way for future colonization. The smart bombs they use to effect this zoom off cheerfully to do their duty. But unlike Star Trek, in which order prevails, the nerves of this crew are becoming increasingly frayed to the point of psychosis. Their captain has been killed by a radiation leak that also destroyed their toilet paper. "Don't give me any of that 'Intelligent Life' stuff," says Commander Doolittle when presented with the possibility of alien life. "Find me something I can blow up." When an asteroid storm causes a malfunction, Bomb Number 20 (the most cheerful character in the film) has to be repeatedly talked out of exploding prematurely, each time becoming more and more peevish, until they have to teach him phenomenology to make him doubt his existence. And the film's apocalyptic ending, lifted almost wholly from Ray Bradbury's story "Kaleidoscope," has the remaining crew drifting away from each other in space, each to a suitably absurd end. Absurd, surreal, and very funny. John Carpenter once described Dark Star as "Waiting for Godot in space." Made at a cost of practically nothing, the film's effects are nevertheless impressive and, along with the number of ideas crammed into its 83 minutes, ought to shame makers of science fiction films costing hundreds of times more. The DVD contains both the original 68-minute release and the director's full version. --Jim Gay		Vci Home Video	03-07-2001		20-02-2005										John Carpenter	Dre Pahich/ Dan O'Bannon	Color/ Widescreen	G	01-01-1974	
movie							0043396098121	B00008LUNW		Darkness Falls (Special Edition)					DVD		Horror	$14.94	$4.50		2.74			Columbia Tri//Star - Preorder	03-08-2004		20-02-2005										Jonathan Liebesman	Chaney Kley/ Emma Caulfield	Color/ Closed-captioned/ Widescreen/ Dolby	PG-13	24-01-2003	
movie							0025192581922	B0002ABURA		Dawn of the Dead (Widescreen Unrated Director's Cut)					DVD		Horror	$19.98	$12.25		4			Umvd	08-02-2005		20-02-2005										Zack Snyder	Sarah Polley/ Ving Rhames/ Jake Weber/ Mekhi Phifer	Widescreen/ Director's Cut	Unrated	19-03-2004	
